1e-05	4.21	3.175830600016317	0.000842	0.0006351661200032635
0.0007700000000000001	5315.65	76.81944740754128	1.06313	0.015363889481508256	
0.0007800000000000001	5350.4	82.98192574289897	1.07008	0.016596385148579793	
0.00079	5395.83	87.45342246018734	1.079166	0.01749068449203747	
0.0008	5441.72	74.74865617521162	1.088344	0.014949731235042322	
0.0008100000000000001	5477.65	84.00837755843162	1.09553	0.016801675511686324	
0.0008200000000000001	5502.55	78.5758709783099	1.10051	0.01571517419566198	
0.0008300000000000001	5550.01	78.69974523465751	1.110002	0.0157399490469315	
0.00084	5573.24	86.64411347575783	1.1146479999999999	0.017328822695151565	
0.0008500000000000001	5622.67	64.2983755626843	1.124534	0.01285967511253686	
0.0008600000000000001	5650.03	84.3462453224801	1.1300059999999998	0.01686924906449602	
0.0008700000000000001	5689.02	87.6769045986456	1.137804	0.01753538091972912	
